PETITION,NAME OF PROPERTY,ADDRESS,NEIGHBORHOOD,PETITION BY,CATEGORY,DETAILS,full_address,lat,lon,coordinate,PID
158,"LaGrange Street, 12-18",12-18 LaGrange St,Theater,10 Voters,E = Unsuccessful Petition,Petition Denied 10/1989,"12-18 LaGrange St, Theater, MA",42.298462,-71.1717541,"42.298462, -71.1717541",0
157,Hoffman Building,160 N. Washington St,"Boston, CBD",10 Voters,E = Unsuccessful Petition,Petition Denied 5/1989,"160 N. Washington St, Boston, CBD, MA",42.3671984,-71.0594008,"42.3671984, -71.05940079999999",0
156,"Princeton Street, 39 (indv bldg Arch Cons Dist)",39 Princeton St,East Boston,10 Voters,A = Individual Landmark,BLC Designation vote 1991,"39 Princeton St, East Boston, MA",42.3768338,-71.0374033,"42.3768338, -71.0374033",0
155,"Princeton Street, 41 (indv bldg Arch Cons Dist)",41 Princeton St,East Boston,10 Voters,A = Individual Landmark,BLC Designation vote 1991,"41 Princeton St, East Boston, MA",42.376855,-71.0373105,"42.376855, -71.0373105",0
154,Graham Block,2286-2302 Washington,Roxbury,10 Voters,E = Unsuccessful Petition,Petition Denied 4/1989,"2286-2302 Washington, Roxbury, MA",42.330165,-71.0839009,"42.330165, -71.0839009",0
153,Ferdinand's Blue Store Addition,17-19 Warren St,Roxbury,10 Voters,E = Unsuccessful Petition,"Petition Denied 4/89, demolished","17-19 Warren St, Roxbury, MA",42.329983,-71.083553,"42.329983, -71.083553",0
152,Ferdinand's Blue Store,2260-2272 Washington St,Roxbury,10 Voters,C = Pending Landmark/District,Under Study,"2260-2272 Washington St, Roxbury, MA",42.33024,-71.083482,"42.33024, -71.083482",0
151,Boston Evening Clinic (Burrage House) (interior),314 Commonwealth Av,Back Bay,10 Voters,A = Individual Landmark,BLC Designation vote 2003,"314 Commonwealth Av, Back Bay, MA",42.3492572,-71.0860592,"42.3492572, -71.0860592",0
150,"Causeway Street, 216-246",216-246 Causeway St,"Boston, CBD",10 Voters,E = Unsuccessful Petition,Denied 11/28/1989,"216-246 Causeway St, Boston, CBD, MA",42.3664371,-71.0594392,"42.3664371, -71.0594392",0
149,Gibson House (interior),137 Beacon St,Back Bay,10 Voters,A = Individual Landmark,BLC Designation vote 1992,"137 Beacon St, Back Bay, MA",42.3547754,-71.0740793,"42.3547754, -71.0740793",0
148,Vilna Shul (interior),14-18 Phillips St,Beacon Hill,10 Voters,E = Unsuccessful Petition,City Cncl Veto 1/1990,"14-18 Phillips St, Beacon Hill, MA",42.36011999999999,-71.067221,"42.36011999999999, -71.067221",0
147,Copley Plaza Hotel (interior/exterior),St. James Ave,Back Bay,10 Voters,C = Pending Landmark/District,Under Study,"St. James Ave, Back Bay, MA",42.3501583,-71.0736681,"42.3501583, -71.0736681",0
146,Mass. College of Art (now Beth Israel),364 Brookline Ave,Fenway,10 Voters,C = Pending Landmark/District,Under Study,"364 Brookline Ave, Fenway, MA",42.3390468,-71.1063182,"42.3390468, -71.10631819999999",0
145,Curley House (interior/exterior),350 Jamaicaway,Jamaica Plain,Mayor,A = Individual Landmark,BLC Designation vote 1989,"350 Jamaicaway, Jamaica Plain, MA",42.3198565,-71.1167696,"42.3198565, -71.1167696",0
144,Auchmuty Building (Dainty Dot),120 Kingston St,"Boston, CBD",10 Voters,F = Unsuccessful Petition & Demolished,"Denied 2007, demolished","120 Kingston St, Boston, CBD, MA",42.3522851,-71.0591088,"42.3522851, -71.05910879999999",0
143,Batterymarch Building,54-68 Batterymarch St,"Boston, CBD",10 Voters,A = Individual Landmark,BLC Designation vote 1995,"54-68 Batterymarch St, Boston, CBD, MA",42.357336,-71.0532289,"42.357336, -71.0532289",0
142,"Emerald Necklace-Jamaica Pond, Olmsted Park","Riverway, Jamaicaway","Fenway, JP",10 Voters,A = Individual Landmark,BLC Designation vote 1989,"Riverway, Jamaicaway, Fenway, JP, MA",42.3305175,-71.11269,"42.3305175, -71.11269",0
141,Sears Building,Park Drive,Fenway,10 Voters,A = Individual Landmark,BLC Designation vote 1989,"Park Drive, Fenway, MA",42.342905,-71.1022129,"42.342905, -71.1022129",0
140,Evans Building,174-175 Tremont St,Theater,10 Voters,E = Unsuccessful Petition,Denied 7/10/1990,"174-175 Tremont St, Theater, MA",42.3532965,-71.0642828,"42.3532965, -71.0642828",0
139,Bay State Road/Back Bay West Protection Area,Kenmore Square,Fenway,10 Voters,E = Unsuccessful Petition,Denied 7/26/1988,"Kenmore Square, Fenway, MA",42.3489027,-71.0975525,"42.3489027, -71.0975525",0
138,"New Studio Building, The",110 Tremont St,"Boston, CBD",10 Voters,E = Unsuccessful Petition,Mayoral Veto 2/5/1989,"110 Tremont St, Boston, CBD, MA",42.356879,-71.0610124,"42.356879, -71.0610124",0
137,"Phillips Building, The",120 Tremont St,"Boston, CBD",10 Voters,E = Unsuccessful Petition,Mayoral Veto 2/5/1989,"120 Tremont St, Boston, CBD, MA",42.3567216,-71.0614436,"42.3567216, -71.06144359999999",0
136,James Michael Curley House (see #145),350 Jamaicaway,Jamaica Plain,10 Voters,E = Unsuccessful Petition,Mayoral Veto 6/28/1988,"350 Jamaicaway, Jamaica Plain, MA",42.3198565,-71.1167696,"42.3198565, -71.1167696",0
135,Pope/Cahner's Building,219-223 Columbus Ave,Back Bay,10 Voters,C = Pending Landmark/District,Under Study,"219-223 Columbus Ave, Back Bay, MA",42.34827300000001,-71.072736,"42.34827300000001, -71.07273599999999",0
134,Hutchinson Building,32-54 Province St,"Boston, CBD",10 Voters,C = Pending Landmark/District,Under Study,"32-54 Province St, Boston, CBD, MA",42.3570189,-71.0598026,"42.3570189, -71.0598026",0
133,First Church Jamaica Plain,Centre St,Jamaica Plain,10 Voters,"O = Other, non-designation action",Petition withdrawn,"Centre St, Jamaica Plain, MA",42.3089299,-71.1174172,"42.3089299, -71.1174172",0
132,Richardson Block,109-151 Pearl St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC Designation vote 2023,"109-151 Pearl St, Boston, Downtown, MA",42.3545883,-71.053595,"42.3545883, -71.053595",0
131,Governor Bates House,1 Monmouth Square,East Boston,10 Voters,E = Unsuccessful Petition,Denied 8/11/1987,"1 Monmouth Square, East Boston, MA",42.3793599,-71.0390481,"42.3793599, -71.0390481",0
130,First Baptist Church (interior),Clarendon St,Back Bay,10 Voters,C = Pending Landmark/District,Under Study,"Clarendon St, Back Bay, MA",42.3492334,-71.0744961,"42.3492334, -71.0744961",0
129,Great House Archaeological Site,City Square,Charlestown,Commissioner,A = Individual Landmark,BLC Designation vote 1992,"City Square, Charlestown, MA",42.3720233,-71.0621144,"42.3720233, -71.0621144",0
128,"Coulton Building, The",426 Boylston St,Back Bay,10 Voters,E = Unsuccessful Petition,Denied 4/14/1987,"426 Boylston St, Back Bay, MA",42.3511221,-71.0727532,"42.3511221, -71.0727532",0
127,"Broad Street, 127-133",127-133 Broad St,"Boston, Downtown",10 Voters,C = Pending Landmark/District,Under Study,"127-133 Broad St, Boston, Downtown, MA",42.3569662,-71.0520301,"42.3569662, -71.0520301",0
126,"Broad Street, 123-125",123-125 Broad St,"Boston, Downtown",10 Voters,C = Pending Landmark/District,Under Study,"123-125 Broad St, Boston, Downtown, MA",42.3569442,-71.0521962,"42.3569442, -71.0521962",0
125,"Broad Street, 115-119",115-119 Broad St,"Boston, Downtown",10 Voters,C = Pending Landmark/District,Under Study,"115-119 Broad St, Boston, Downtown, MA",42.356974,-71.052269,"42.356974, -71.052269",0
124,"Broad Street, 109-113",109-113 Broad St,"Boston, Downtown",10 Voters,C = Pending Landmark/District,Under Study,"109-113 Broad St, Boston, Downtown, MA",42.3570754,-71.0522511,"42.3570754, -71.05225109999999",0
123,Fisher Junior College (interior),118 Beacon St,Back Bay,10 Voters,C = Pending Landmark/District,Under Study,"118 Beacon St, Back Bay, MA",42.3552678,-71.0739654,"42.3552678, -71.07396539999999",0
122,"First Church Roxbury (int&ext), Putnam Chapel",John Eliot Square,Roxbury,10 Voters,A = Individual Landmark,BLC Designation vote 2023,"John Eliot Square, Roxbury, MA",42.3298305,-71.0909509,"42.3298305, -71.0909509",0
121,"Gridley J.F. Bryant Buildings, Boston City Hospital",Harrison Ave,South End,10 Voters,C = Pending Landmark/District,Under Study,"Harrison Ave, South End, MA",42.3400648,-71.0687662,"42.3400648, -71.0687662",0
120,Church of the Immaculate Conception (see #41),761 Harrison Ave,South End,10 Voters,E = Unsuccessful Petition,Overturned by SJC,"761 Harrison Ave, South End, MA",42.3373043,-71.0731297,"42.3373043, -71.0731297",0
119,Bonwit Teller/Museum of Natural History (int),234 Berkeley St,Back Bay,10 Voters,E = Unsuccessful Petition,Denied 4/26/1988,"234 Berkeley St, Back Bay, MA",42.3515823,-71.0736869,"42.3515823, -71.0736869",0
118,Samuel Appleton Building,110-114 Milk St,"Boston, Downtown",10 Voters,C = Pending Landmark/District,Under Study,"110-114 Milk St, Boston, Downtown, MA",42.3575604,-71.0547478,"42.3575604, -71.0547478",0
117,Flour & Grain Exchange,177 Milk St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC Designation vote 1994,"177 Milk St, Boston, Downtown, MA",42.3583851,-71.0526206,"42.3583851, -71.0526206",0
116,Board of Trade Building,2-22 Broad St,"Boston, Downtown",10 Voters,C = Pending Landmark/District,Under Study,"2-22 Broad St, Boston, Downtown, MA",42.3591611,-71.0544601,"42.3591611, -71.05446010000001",0
115,"Ropewalk, The",Navy Yard,Charlestown,Commissioner,A = Individual Landmark,BLC Designation vote 2024,"Navy Yard, Charlestown, MA",42.373293,-71.0566239,"42.373293, -71.05662389999999",0
114,Ames Building,1 Court Square,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC Designation vote 1993,"1 Court Square, Boston, Downtown, MA",42.3589924,-71.0586319,"42.3589924, -71.0586319",0
113,Filene's,426 Washington St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC Designation vote 2006,"426 Washington St, Boston, Downtown, MA",42.3554872,-71.0598889,"42.3554872, -71.05988889999999",0
112,Ancient Arch,North End,North End,10 Voters,E = Unsuccessful Petition,Denied 1/27/1987,"North End, North End, MA",42.3652089,-71.0554946,"42.3652089, -71.0554946",0
111,Old South Building,280-300 Washington St,"Boston, Downtown",10 Voters,C = Pending Landmark/District,Under Study,"280-300 Washington St, Boston, Downtown, MA",42.3574379,-71.0580813,"42.3574379, -71.0580813",0
110,Jeweler's Building,371-379 Washington St,"Boston, Downtown",10 Voters,C = Pending Landmark/District,Under Study,"371-379 Washington St, Boston, Downtown, MA",42.3564108,-71.0596715,"42.3564108, -71.0596715",0
109,Trinity Church,Copley Square,Back Bay,10 Voters,C = Pending Landmark/District,Under Study,"Copley Square, Back Bay, MA",42.350008,-71.0765558,"42.350008, -71.0765558",0
108,U.S. Custom House,McKinley Square,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC Designation vote 1986,"McKinley Square, Boston, Downtown, MA",42.3590664,-71.0532587,"42.3590664, -71.0532587",0
107,Chestnut Hill Reservoir & Pumping Station Comp,2400-2450 Beacon St,Brighton,Commissioner,A = Individual Landmark,BLC Designation vote 1989,"2400-2450 Beacon St, Brighton, MA",42.3336257,-71.1529282,"42.3336257, -71.15292819999999",0
106,Prince Building,52-54 Devonshire St,"Boston, Downtown",Commissioner,E = Unsuccessful Petition,Denied 5/11/1993,"52-54 Devonshire St, Boston, Downtown, MA",42.35832420000001,-71.0571237,"42.35832420000001, -71.05712369999999",0
105,National Shawmut Bank Building,70-84 Devonshire St,"Boston, Downtown",Commissioner,C = Pending Landmark/District,Under Study,"70-84 Devonshire St, Boston, Downtown, MA",42.3580233,-71.0571745,"42.3580233, -71.0571745",0
104,Worthington Building,31-33 State St,"Boston, Downtown",Commissioner,C = Pending Landmark/District,Under Study,"31-33 State St, Boston, Downtown, MA",42.3585946,-71.0568963,"42.3585946, -71.05689629999999",0
103,Quaker Lane,Quaker Lane,"Boston, Downtown",Commissioner,C = Pending Landmark/District,Under Study,"Quaker Lane, Boston, Downtown, MA",42.3582406,-71.0569611,"42.3582406, -71.0569611",0
102,Coulton Building,452-462 Boylston St,Back Bay,10 Voters,E = Unsuccessful Petition,Denied 5/28/1985,"452-462 Boylston St, Back Bay, MA",42.35077099999999,-71.073334,"42.35077099999999, -71.073334",0
101,Tremont Temple,88 Tremont St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC Designation vote 2023,"88 Tremont St, Boston, Downtown, MA",42.3574919,-71.0606681,"42.3574919, -71.0606681",0
100,Town Hill Landmark District,Town Hill,Charlestown,10 Voters,C = Pending Landmark/District,Under Study (no accel desrev),"Town Hill, Charlestown, MA",42.37865559999999,-71.0615977,"42.37865559999999, -71.0615977",0
99,"Boston Public Library, main branch",Copley Square,Back Bay,10 Voters,A = Individual Landmark,BLC Designation vote 2000,"Copley Square, Back Bay, MA",42.350008,-71.0765558,"42.350008, -71.0765558",0
98,South Street Building,183 Essex St,"Boston, Downtown",10 Voters,E = Unsuccessful Petition,Denied 4/23/1985,"183 Essex St, Boston, Downtown, MA",42.35199799999999,-71.057796,"42.35199799999999, -71.057796",0
97,Second Brazer Building,25-29 State St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC Designation vote 1985,"25-29 State St, Boston, Downtown, MA",42.35859079999999,-71.057113,"42.35859079999999, -71.057113",0
96,Lincoln Building,60-70 Lincoln St,"Boston, Downtown",10 Voters,C = Pending Landmark/District,Under Study,"60-70 Lincoln St, Boston, Downtown, MA",42.3522342,-71.0578436,"42.3522342, -71.0578436",0
95,Richards Building,112-116 State St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC Designation vote 2023,"112-116 State St, Boston, Downtown, MA",42.3593004,-71.0548685,"42.3593004, -71.0548685",0
94,Mission Hill Triangle Architectural Cons Dist.,Mission Hill,Mission Hill,10 Voters,B = District,BLC Designation vote 1986,"Mission Hill, Mission Hill, MA",42.3298994,-71.1059676,"42.3298994, -71.1059676",0
93,North End District (Chapter 40C),North End,North End,City Council,C = Pending Landmark/District,Under Study (no accel desrev),"North End, North End, MA",42.3652089,-71.0554946,"42.3652089, -71.0554946",0
92,Exeter Street Theater (interior),26 Exeter St,Back Bay,10 Voters,E = Unsuccessful Petition,Denied 5/8/1984,"26 Exeter St, Back Bay, MA",42.3505785,-71.0797686,"42.3505785, -71.0797686",0
91,Berkeley Building,414-426 Boylston St,Back Bay,10 Voters,A = Individual Landmark,BLC Designation vote 1985,"414-426 Boylston St, Back Bay, MA",42.3512322,-71.07243,"42.3512322, -71.07243",0
90,Five Street Clocks,"Dorchester, Back Bay",E & S Boston,Commissioner,A = Individual Landmark,BLC Designation vote 1983,"Dorchester, Back Bay, E & S Boston, MA",42.3495236,-71.0794717,"42.3495236, -71.0794717",0
89,Jones Hill Architectural Conservation District,Jones Hill,Dorchester,10 Voters,C = Pending Landmark/District,Under Study (no accel desrev),"Jones Hill, Dorchester, MA",42.313947,-71.063148,"42.313947, -71.063148",0
88,Saxon Theater/Emerson Majestic (int & exterior),219-221 Tremont St,Theater,Commissioner,A = Individual Landmark,BLC designation vote 1986,"219-221 Tremont St, Theater, MA",42.3515501,-71.0652372,"42.3515501, -71.0652372",0
87,Keith Memorial/Opera House (int &exterior),537-539 Washington St,Theater,Commissioner,A = Individual Landmark,BLC designation vote 1999,"537-539 Washington St, Theater, MA",42.3541986,-71.0628205,"42.3541986, -71.0628205",0
86,Colonial Theater (interior),106 Boylston St,Theater,Commissioner,C = Pending Landmark/District,Hearing 7/24/1990,"106 Boylston St, Theater, MA",42.3522621,-71.0653971,"42.3522621, -71.0653971",0
85,Wang Theater (interior),268 Tremont St,Theater,Commissioner,A = Individual Landmark,BLC designation vote 1990,"268 Tremont St, Theater, MA",42.3504562,-71.0647811,"42.3504562, -71.06478109999999",0
84,"Broad Street, 050-52",50-52 Broad St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1985,"50-52 Broad St, Boston, Downtown, MA",42.3580248,-71.0537489,"42.3580248, -71.0537489",0
83,"Broad Street, 066",66 Broad St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1983,"66 Broad St, Boston, Downtown, MA",42.3579626,-71.0535362,"42.3579626, -71.0535362",0
82,"India Street, 25-27",25-27 India St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1983,"25-27 India St, Boston, Downtown, MA",42.3582886,-71.0532905,"42.3582886, -71.0532905",0
79,"Broad Street, 102",102 Broad St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1983,"102 Broad St, Boston, Downtown, MA",42.3574215,-71.052135,"42.3574215, -71.05213499999999",0
78,"Broad Street, 072",72 Broad St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1983,"72 Broad St, Boston, Downtown, MA",42.3577465,-71.0529824,"42.3577465, -71.05298239999999",0
77,"Broad Street, 068",68 Broad St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1983,"68 Broad St, Boston, Downtown, MA",42.3578668,-71.0533547,"42.3578668, -71.0533547",0
76,"Broad Street, 064",64 Broad St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1983,"64 Broad St, Boston, Downtown, MA",42.3578864,-71.0534334,"42.3578864, -71.0534334",0
75,"Broad Street, 007-9",7-9 Broad St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1983,"7-9 Broad St, Boston, Downtown, MA",42.3590987,-71.0548592,"42.3590987, -71.0548592",0
74,"Broad Street, 005-7 (petition 74A)",5-7 Broad St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1983,"5-7 Broad St, Boston, Downtown, MA",42.35892219999999,-71.0546631,"42.35892219999999, -71.0546631",0
74,"Arch Street, 93-101",93-101 Arch St,"Boston, Downtown",Commissioner,E = Unsuccessful Petition,Denied 11/4/1983; MOU,"93-101 Arch St, Boston, Downtown, MA",42.355041,-71.059135,"42.355041, -71.059135",0
73,Theodore Parker Unitarian Church,1851 Centre St,West Roxbury,10 Voters,A = Individual Landmark,BLC designation vote 1985,"1851 Centre St, West Roxbury, MA",42.2863087,-71.1544552,"42.2863087, -71.1544552",0
72,St. Gabriel's Monastery Building (see #51),159 Washington St,Brighton,10 Voters,A = Individual Landmark,BLC designation vote 1989,"159 Washington St, Brighton, MA",42.3474067,-71.1462132,"42.3474067, -71.14621319999999",0
71,Tugboat LUNA,Charles River,Charles River,10 Voters,A = Individual Landmark,BLC designation vote 1985,"Charles River, Charles River, MA",42.23848975300842,-71.28734611,"42.23848975300842, -71.28734610680398",0
70,Bay Village Architectural Conservation District,,Bay Village,10 Voters,B = District,BLC designation vote 1983,"See Map, Bay Village, MA",42.3487398,-71.0694179,"42.3487398, -71.06941789999999",0
69,"Bromfield Street, 20-30",20-30 Bromfield St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC designation vote 1983,"20-30 Bromfield St, Boston, Downtown, MA",42.3565826,-71.0601501,"42.3565826, -71.0601501",0
68,Kennedy's Building,26-38 Summer St,"Boston, Downtown",10 Voters,E = Unsuccessful Petition,Denied 9/18/1984,"26-38 Summer St, Boston, Downtown, MA",42.3548723,-71.059359,"42.3548723, -71.059359",0
67,Liberty Tree Block (reconsideration),628-636 Washington St,Theater,Commissioner,A = Individual Landmark,BLC designation vote 1985,"628-636 Washington St, Theater, MA",42.2404321,-71.1789904,"42.2404321, -71.1789904",0
66,Blackstone Block Street Network,Blackstone Block,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1983,"Blackstone Block, Boston, Downtown, MA",42.3638367,-71.0583505,"42.3638367, -71.0583505",0
65,Elisha Loring House,21 Mill St,Dorchester,10 Voters,C = Pending Landmark/District,Under Study,"21 Mill St, Dorchester, MA",42.3001919,-71.0525417,"42.3001919, -71.05254169999999",0
64,Citgo Sign (see #256),Kenmore Square,Boston,10 Voters,E = Unsuccessful Petition,Denied 1/25/1983,"Kenmore Square, Boston, MA",42.3489461,-71.0977058,"42.3492324357969, -71.0961878772731",0503752000
63,Worthington House,1048 Dorchester Ave,Dorchester,10 Voters,E = Unsuccessful Petition,Petition denied 4/1982,"1048 Dorchester Ave, Dorchester, MA",42.3150746,-71.0560444,"42.3150746, -71.05604439999999",0
62,Revision to St. Botolph District,St. Botolph St,Boston,Commissioner,"O = Other, non-designation action",BLC designation vote 3/23/1982,"St. Botolph St, Boston, MA",42.3430431,-71.0830546,"42.3430431, -71.0830546",0
61,Parker House,60 School St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC designation vote 1/24/2023,"60 School St, Boston, Downtown, MA",42.3577304,-71.0601302,"42.3577304, -71.0601302",0304696000
60,Resident Physician's House,62 Blossom St,"Boston, Downtown",10 Voters,E = Unsuccessful Petition,Denied 3/9/1982,"62 Blossom St, Boston, Downtown, MA",42.363141,-71.0674372,"42.363141, -71.06743720000001",0
59,Austin Block,90-92 Main St,Charlestown,10 Voters,A = Individual Landmark,BLC designation vote 1981,"90-92 Main St, Charlestown, MA",42.373766,-71.063141,"42.373766, -71.063141",0
58,Trinity Neighborhood House,406 Meridian St,East Boston,10 Voters,A = Individual Landmark,BLC designation vote 1981,"406 Meridian St, East Boston, MA",42.38025589999999,-71.0395159,"42.38025589999999, -71.03951590000001",0
57,Proctor Building,100-106 Bedford St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC designation vote 1983,"100-106 Bedford St, Boston, Downtown, MA",42.3534099,-71.059129,"42.3534099, -71.059129",0
56,Back Bay Fens,The Fenway,Fenway,10 Voters,A = Individual Landmark,BLC designation vote 1983,"The Fenway, Fenway, MA",42.346832,-71.0923139,"42.346832, -71.0923139",0
55,Dorchester Pottery Works,101-105 Victory Road,Dorchester,10 Voters,A = Individual Landmark,BLC designation vote 1980,"101-105 Victory Road, Dorchester, MA",42.29726,-71.050862,"42.29726, -71.050862",0
54,Sparhawk Street District,Sparhawk St,Brighton,10 Voters,C = Pending Landmark/District,Under Study (no accel desrev),"Sparhawk St, Brighton, MA",42.3508151,-71.1493418,"42.3508151, -71.1493418",0
53,Harrison Loring House,789 East Broadway,South Boston,10 Voters,A = Individual Landmark,BLC designation vote 1981,"789 East Broadway, South Boston, MA",42.3354838,-71.0330389,"42.3354838, -71.0330389",0
52,United Shoe Machinery Company Building,160 Federal St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC designation vote 1983,"160 Federal St, Boston, Downtown, MA",42.3542843,-71.0559285,"42.3542843, -71.0559285",0
51,St. Gabriel's Monastery Building (see #72),159 Washington St,Brighton,10 Voters,E = Unsuccessful Petition,Mayoral Veto 4/17/1981,"159 Washington St, Brighton, MA",42.3474067,-71.1462132,"42.3474067, -71.14621319999999",0
50,Stock Exchange Building,53 State St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC designation vote 1980,"53 State St, Boston, Downtown, MA",42.3587966,-71.0562591,"42.3587966, -71.05625909999999",0
49,Church Green Building,101-113 Summer St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC designation vote 1979,"101-113 Summer St, Boston, Downtown, MA",42.3535855,-71.0581385,"42.3535855, -71.0581385",0
48,Cox Building,1-7 Dudley St,Roxbury,Commissioner,A = Individual Landmark,BLC designation voted 1979,"1-7 Dudley St, Roxbury, MA",42.3293548,-71.0897386,"42.3293548, -71.08973859999999",0
47,Gary (Plymouth) Theater,127-131 Stuart St,Theater,10 Voters,E = Unsuccessful Petition,Petition denied 4/1979,"127-131 Stuart St, Theater, MA",42.3508803,-71.0671677,"42.3508803, -71.0671677",0
46,Allen House,Worcester Square,South End,10 Voters,E = Unsuccessful Petition,Petition denied 4/1979,"Worcester Square, South End, MA",42.3366634,-71.0748732,"42.3366634, -71.0748732",0
45,Alexander Graham Bell Building,35 & 38 W. Newton St,South End,10 Voters,E = Unsuccessful Petition,Petition denied 4/1979,"35 & 38 W. Newton St, South End, MA",42.3389185,-71.0739304,"42.3389185, -71.0739304",0
44,St. Cloud Hotel,565-567 Tremont St,South End,10 Voters,E = Unsuccessful Petition,Petition Denied 4/1979,"565-567 Tremont St, South End, MA",42.3438727,-71.0722852,"42.3438727, -71.0722852",0
43,All Saints Lutheran Church,85 W. Newton St,South End,10 Voters,E = Unsuccessful Petition,Petition Denied 4/1979,"85 W. Newton St, South End, MA",42.3409573,-71.0758224,"42.3409573, -71.07582239999999",0
42,Franklin Park,Franklin Park,Roxbury,10 Voters,A = Individual Landmark,BLC Designation Vote 1980,"Franklin Park, Roxbury, MA",42.302842,-71.0877077,"42.302842, -71.0877077",0
41,Church of the Immaculate Conception,761 Harrison Ave,South End,10 Voters,E = Unsuccessful Petition,Tabled (see #120),"761 Harrison Ave, South End, MA",42.3373043,-71.0731297,"42.3373043, -71.0731297",0
40,Armory of 1st Corps Cadets (interior - see #2),Arlington @ Columbus,South Cove,10 Voters,C = Pending Landmark/District,Under Study,"Arlington @ Columbus, South Cove, MA",42.4072107,-71.3824374,"42.4072107, -71.3824374",0
39,Wilbur Theater (Interior/Exterior),250 Tremont St,Theater,10 Voters,A = Individual Landmark,BLC Designation Vote 1987,"250 Tremont St, Theater, MA",42.3501871,-71.0646208,"42.3501871, -71.0646208",0
38,Highland Park Architectural Conservation District,Roxbury Highlands,Roxbury,10 Voters,B = District,BLC Designation Vote 2022,"Roxbury Highlands, Roxbury, MA",42.32981059999999,-71.0914334,"42.32981059999999, -71.0914334",0
37,Dorchester North Burying Ground,585 Columbia Road,Dorchester,10 Voters,A = Individual Landmark,BLC Designation Vote 1983,"585 Columbia Road, Dorchester, MA",42.31674049999999,-71.0652153,"42.31674049999999, -71.06521529999999",0
36,St. Botolph Architectural Conservation District,,Boston,10 Voters,B = District,BLC Designation Vote 1981,"See Map, Boston, MA",42.3600825,-71.0588801,"42.34445565758828, -71.0813352330912",0
35,Charlestown Savings Bank,1-4 Thompson Square,Charlestown,Commissioner,A = Individual Landmark,BLC Designation Vote 1978,"1-4 Thompson Square, Charlestown, MA",42.3753314,-71.0636555,"42.3753314, -71.0636555",0
34,Liberty Tree Block (see #67 - 2d petition),628-636 Washington St,"Boston, Downtown",10 Voters,E = Unsuccessful Petition,Petition Denied 7/1978,"628-636 Washington St, Boston, Downtown, MA",42.3522098,-71.0621833,"42.3522098, -71.0621833",0
33,St. Leonard's Church,31-35 Prince St,North End,10 Voters,C = Pending Landmark/District,Under Study,"31-35 Prince St, North End, MA",42.364782,-71.054232,"42.364782, -71.054232",0
32,Eustis Street Architectural Conservation District,Washington St,Roxbury,10 Voters,B = District,BLC Designation Vote 1981 (heard by BLC),"Washington St, Roxbury, MA",42.3246792,-71.0883783,"42.3246792, -71.0883783",0
31,Oak Square School,35 Nonantum St,Brighton,10 Voters,A = Individual Landmark,BLC Designation Vote 1979,"35 Nonantum St, Brighton, MA",42.3501097,-71.1688489,"42.3501097, -71.1688489",0
30,Bancroft-Rice School,Appleton St,South End,10 Voters,E = Unsuccessful Petition,Petition Denied 2/1978,"Appleton St, South End, MA",42.3456841,-71.0727501,"42.3456841, -71.0727501",0
29,Boylston Building,2 Boylston St,Theater,Commissioner,A = Individual Landmark,BLC Designation Vote 1977,"2 Boylston St, Theater, MA",42.3528234,-71.0675807,"42.3528234, -71.0675807",0
28,Boston Young Men's Christian Union Building,48 Boylston St,Theater,Commissioner,A = Individual Landmark,BLC Designation Vote 1977,"48 Boylston St, Theater, MA",42.34678,-71.091581,"42.34678, -71.09158099999999",0
26,Federal Reserve Bank,30 Pearl St,"Boston, Downtown",10 Voters,A = Individual Landmark,BLC Designation Vote 1978,"30 Pearl St, Boston, Downtown, MA",42.3566017,-71.0552216,"42.3566017, -71.05522160000001",0
